NUM_SIMS,BS_CALL,EST_CALL,DIFF_CALL,BS_PUT,EST_PUT,DIFF_PUT
100,8.26,8.65,-0.39,5.79,4.77,1.02
1000,8.26,8.95,-0.69,5.79,5.54,0.25
10000,8.26,8.23,0.03,5.79,5.88,-0.09
100000,8.26,8.27,-0.01,5.79,5.82,-0.03
1000000,8.26,8.27,-0.01,5.79,5.78,0.01
